hs8,hs6,naics6,naics2,tariff,desc,Country,unmapped,bad_naics6,naics2_mismatch,public_admin,hs97,hs000
04079012,040790,1123XX,11,25.0%,"Birds' eggs, in shell, fresh, preserved or cooked. OtherOf the fowls of the species Gallus domesticus: Over access commitment",Canada,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
04101000,041010,NA,NA,30.0%,"Insects and other edible products of animal origin, not elsewhere specified or included: -Insects",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
04109029,041090,NA,NA,30.0%,"Insects and other edible products of animal origin, not elsewhere specified or included: ----Other",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
04109090,041090,NA,NA,30.0%,"Insects and other edible products of animal origin, not elsewhere specified or included: ---Other",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
07095300,070953,NA,NA,40.0%,"Other vegetables, fresh or chilled: --Mushrooms of the genus Cantharellus",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
07095400,070954,NA,NA,40.0%,"Other vegetables, fresh or chilled: --Shiitake (Lentinus edodes)",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
07095500,070955,NA,NA,40.0%,"Other vegetables, fresh or chilled: --Matsutake (Tricholoma matsutake, Tricholoma magnivelare, Tricholoma anatolicum, Tricholoma dulciolens, Tricholoma caligatum)",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
07095600,070956,NA,NA,40.0%,"Other vegetables, fresh or chilled: --Truffles (Tuber spp.)",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
07123400,071234,NA,NA,40.0%,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared: --Shiitake (Lentinus edodes)",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
00000802,000008,NA,NA,5.0%,"Other nuts, fresh or dried, whether or not shelled or peeled",Turkey,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
08029100,080291,NA,NA,55.0%,"Other nuts, fresh or dried, whether or not shelled or peeled: --Pine nuts, in shell",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
08029200,080292,NA,NA,55.0%,"Other nuts, fresh or dried, whether or not shelled or peeled: --Pine nuts, shelled",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
08029900,080299,NA,NA,25.0%,"Other nuts, fresh or dried, whether or not shelled or peeled. Other: Other",Canada,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
08029910,080299,NA,NA,40.0%,"Other nuts, fresh or dried, whether or not shelled or peeled: ---Gingko nuts",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
08029990,080299,NA,NA,55.0%,"Other nuts, fresh or dried, whether or not shelled or peeled: ---Other",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
09019000,090190,910000,91,25.0%,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion. Other",Canada,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
09019010,090190,910000,91,12.5%,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion: ---Coffee husks and skins",China,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
00001006,000010,NA,NA,20.0%,Rice,Turkey,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
12116000,121160,NA,NA,25.0%,"Plants and parts of plants (including seeds and fruits), of a kind used primarily in perfumery, in pharmacy or for insecticidal, fungicidal or similar purposes, fresh, chilled, frozen or dried, whether or not cut, crushed or powdered: -Bark of African cherry (Prunus africana)",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
15092000,150920,NA,NA,25.0%,"Olive oil and its fractions, whether or not refined, but not chemically modified: -Extra virgin olive oil",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
15093000,150930,NA,NA,25.0%,"Olive oil and its fractions, whether or not refined, but not chemically modified: -Virgin olive oil",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
15094000,150940,NA,NA,25.0%,"Olive oil and its fractions, whether or not refined, but not chemically modified: -Other virgin olive oils",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
15101000,151010,NA,NA,5.0%,"Other oils and their fractions, obtained solely from olives, whether or not refined,but not chemically modified, including blends of these oils or fractions with oils or fractions of heading 15.09: -Crude olive pomace oil",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
15109000,151090,NA,NA,5.0%,"Other oils and their fractions, obtained solely from olives, whether or not refined,but not chemically modified, including blends of these oils or fractions with oils or fractions of heading 15.09: -Other",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
15163000,151630,NA,NA,25.0%,"Animal, vegetable or microbial fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared: -Microbial fats and oils and their fractions",China,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
17011200,170112,31131X,31,5.0%,"Cane or beet sugar and chemically pure sucrose, in solid form: --Beet sugar",China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
17011210,170112,31131X,31,25.0%,"Cane or beet sugar and chemically pure sucrose, in solid form. Raw sugar not containing added flavouring or colouring matter: Beet sugarFor use by sugar refineries in the production of refined sugar used in the manufacture of wine",Canada,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
17011290,170112,31131X,31,25.0%,"Cane or beet sugar and chemically pure sucrose, in solid form. Raw sugar not containing added flavouring or colouring matter: Beet sugarOther",Canada,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
17011300,170113,31131X,31,5.0%,"Cane or beet sugar and chemically pure sucrose, in solid form: --Cane sugar specified in Subheading Note 2 to this Chapter",China,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
